id,ts,sales
a_0,2020-01-01 00:00:00,152
a_27,2020-01-01 00:00:00,19
a_19,2020-01-01 00:00:00,63
a_74,2020-01-01 00:00:00,56
a_41,2020-01-01 00:00:00,40
a_40,2020-01-01 00:00:00,91
a_75,2020-01-01 00:00:00,4
a_20,2020-01-01 00:00:00,39
a_76,2020-01-01 00:00:00,62
a_9,2020-01-01 00:00:00,135
a_39,2020-01-01 00:00:00,49
a_77,2020-01-01 00:00:00,45
a_78,2020-01-01 00:00:00,49
a_99,2020-01-01 00:00:00,57
a_21,2020-01-01 00:00:00,61
a_36,2020-01-01 00:00:00,74
a_35,2020-01-01 00:00:00,24
a_8,2020-01-01 00:00:00,186
a_23,2020-01-01 00:00:00,9
a_32,2020-01-01 00:00:00,101
a_30,2020-01-01 00:00:00,65
a_82,2020-01-01 00:00:00,69
a_28,2020-01-01 00:00:00,16
a_86,2020-01-01 00:00:00,47
a_43,2020-01-01 00:00:00,77
a_72,2020-01-01 00:00:00,22
a_73,2020-01-01 00:00:00,79
a_92,2020-01-01 00:00:00,70
a_10,2020-01-01 00:00:00,125
a_59,2020-01-01 00:00:00,177
a_61,2020-01-01 00:00:00,34
a_98,2020-01-01 00:00:00,196
a_58,2020-01-01 00:00:00,89
a_100,2020-01-01 00:00:00,45
a_1,2020-01-01 00:00:00,10
a_53,2020-01-01 00:00:00,67
a_66,2020-01-01 00:00:00,10
a_52,2020-01-01 00:00:00,35
a_67,2020-01-01 00:00:00,64
a_85,2020-01-01 00:00:00,9
a_96,2020-01-01 00:00:00,199
a_71,2020-01-01 00:00:00,34
a_70,2020-01-01 00:00:00,123
a_14,2020-01-01 00:00:00,37
a_16,2020-01-01 00:00:00,2
a_7,2020-01-01 00:00:00,58
a_48,2020-01-01 00:00:00,7
a_93,2020-01-01 00:00:00,126
a_86,2020-01-01 01:00:00,54
a_2,2020-01-01 01:00:00,51
a_22,2020-01-01 01:00:00,82
a_100,2020-01-01 01:00:00,96
a_89,2020-01-01 01:00:00,83
a_95,2020-01-01 01:00:00,35
a_91,2020-01-01 01:00:00,14
a_20,2020-01-01 01:00:00,67
a_96,2020-01-01 01:00:00,23
a_11,2020-01-01 01:00:00,40
a_78,2020-01-01 01:00:00,48
a_84,2020-01-01 01:00:00,59
a_59,2020-01-01 01:00:00,4
a_61,2020-01-01 01:00:00,95
a_62,2020-01-01 01:00:00,96
a_56,2020-01-01 01:00:00,158
a_54,2020-01-01 01:00:00,81
a_52,2020-01-01 01:00:00,118
a_67,2020-01-01 01:00:00,31
a_51,2020-01-01 01:00:00,20
a_68,2020-01-01 01:00:00,30
a_69,2020-01-01 01:00:00,105
a_49,2020-01-01 01:00:00,67
a_48,2020-01-01 01:00:00,49
a_71,2020-01-01 01:00:00,24
a_45,2020-01-01 01:00:00,84
a_73,2020-01-01 01:00:00,116
a_42,2020-01-01 01:00:00,41
a_75,2020-01-01 01:00:00,6
a_76,2020-01-01 01:00:00,54
a_39,2020-01-01 01:00:00,99
a_36,2020-01-01 01:00:00,39
a_34,2020-01-01 01:00:00,119
a_33,2020-01-01 01:00:00,37
a_32,2020-01-01 01:00:00,24
a_27,2020-01-01 01:00:00,8
a_99,2020-01-01 01:00:00,79
a_60,2020-01-01 01:00:00,41
a_1,2020-01-01 01:00:00,88
a_17,2020-01-01 02:00:00,68
a_12,2020-01-01 02:00:00,69
a_9,2020-01-01 02:00:00,48
a_38,2020-01-01 02:00:00,71
a_77,2020-01-01 02:00:00,132
a_64,2020-01-01 02:00:00,41
a_89,2020-01-01 02:00:00,80
a_36,2020-01-01 02:00:00,74
a_62,2020-01-01 02:00:00,59
a_68,2020-01-01 02:00:00,200
a_50,2020-01-01 02:00:00,29
a_51,2020-01-01 02:00:00,51
a_8,2020-01-01 02:00:00,28
a_52,2020-01-01 02:00:00,61
a_60,2020-01-01 02:00:00,56
a_24,2020-01-01 02:00:00,174
a_33,2020-01-01 02:00:00,157
a_71,2020-01-01 02:00:00,60
a_30,2020-01-01 02:00:00,69
a_82,2020-01-01 02:00:00,75
a_86,2020-01-01 02:00:00,71
a_29,2020-01-01 02:00:00,69
a_99,2020-01-01 02:00:00,72
a_39,2020-01-01 02:00:00,156
a_94,2020-01-01 02:00:00,113
a_1,2020-01-01 02:00:00,90
a_44,2020-01-01 02:00:00,66
a_92,2020-01-01 02:00:00,40
a_43,2020-01-01 02:00:00,22
a_19,2020-01-01 02:00:00,28
a_7,2020-01-01 02:00:00,62
a_48,2020-01-01 02:00:00,53
a_42,2020-01-01 02:00:00,155
a_97,2020-01-01 02:00:00,39
a_85,2020-01-01 02:00:00,63
a_49,2020-01-01 02:00:00,76
a_4,2020-01-01 02:00:00,24
a_100,2020-01-01 02:00:00,24
a_64,2020-01-01 03:00:00,76
a_71,2020-01-01 03:00:00,39
a_14,2020-01-01 03:00:00,44
a_95,2020-01-01 03:00:00,121
a_44,2020-01-01 03:00:00,64
a_33,2020-01-01 03:00:00,91
a_70,2020-01-01 03:00:00,53
a_31,2020-01-01 03:00:00,169
a_66,2020-01-01 03:00:00,12
a_69,2020-01-01 03:00:00,40
a_80,2020-01-01 03:00:00,73
a_47,2020-01-01 03:00:00,143
a_84,2020-01-01 03:00:00,88
a_72,2020-01-01 03:00:00,160
a_11,2020-01-01 03:00:00,111
a_1,2020-01-01 03:00:00,74
a_38,2020-01-01 03:00:00,86
a_100,2020-01-01 03:00:00,1
a_76,2020-01-01 03:00:00,77
a_39,2020-01-01 03:00:00,147
a_35,2020-01-01 03:00:00,26
a_96,2020-01-01 03:00:00,89
a_50,2020-01-01 03:00:00,34
a_48,2020-01-01 03:00:00,114
a_73,2020-01-01 03:00:00,76
a_68,2020-01-01 03:00:00,47
a_79,2020-01-01 03:00:00,81
a_42,2020-01-01 03:00:00,90
a_78,2020-01-01 03:00:00,85
a_37,2020-01-01 03:00:00,91
a_67,2020-01-01 03:00:00,37
a_81,2020-01-01 03:00:00,91
a_88,2020-01-01 03:00:00,44
a_22,2020-01-01 03:00:00,69
a_94,2020-01-01 03:00:00,87
a_9,2020-01-01 03:00:00,33
a_99,2020-01-01 03:00:00,93
a_61,2020-01-01 03:00:00,43
a_87,2020-01-01 03:00:00,155
a_16,2020-01-01 03:00:00,60
a_59,2020-01-01 03:00:00,42
a_25,2020-01-01 03:00:00,10
a_93,2020-01-01 03:00:00,66
a_63,2020-01-01 03:00:00,23
a_27,2020-01-01 03:00:00,56
a_18,2020-01-01 03:00:00,86
a_26,2020-01-01 03:00:00,77
a_2,2020-01-01 03:00:00,81
a_91,2020-01-01 03:00:00,78
a_23,2020-01-01 03:00:00,146
a_19,2020-01-01 03:00:00,64
a_60,2020-01-01 03:00:00,139
a_6,2020-01-01 03:00:00,76
a_18,2020-01-01 04:00:00,79
a_79,2020-01-01 04:00:00,9
a_62,2020-01-01 04:00:00,74
a_58,2020-01-01 04:00:00,133
