id,ts,sales
b_43,2020-01-01 00:00:00,73
b_53,2020-01-01 00:00:00,15
b_32,2020-01-01 00:00:00,107
b_39,2020-01-01 00:00:00,3
b_17,2020-01-01 00:00:00,46
b_48,2020-01-01 00:00:00,16
b_18,2020-01-01 00:00:00,119
b_8,2020-01-01 00:00:00,70
b_84,2020-01-01 00:00:00,72
b_99,2020-01-01 00:00:00,25
b_49,2020-01-01 00:00:00,40
b_57,2020-01-01 00:00:00,57
b_24,2020-01-01 00:00:00,54
b_19,2020-01-01 00:00:00,93
b_91,2020-01-01 00:00:00,13
b_56,2020-01-01 00:00:00,62
b_55,2020-01-01 00:00:00,98
b_7,2020-01-01 00:00:00,32
b_2,2020-01-01 00:00:00,23
b_30,2020-01-01 00:00:00,27
b_93,2020-01-01 00:00:00,35
b_54,2020-01-01 00:00:00,97
b_40,2020-01-01 00:00:00,50
b_41,2020-01-01 00:00:00,5
b_71,2020-01-01 00:00:00,4
b_42,2020-01-01 00:00:00,53
b_66,2020-01-01 00:00:00,38
b_100,2020-01-01 00:00:00,161
b_28,2020-01-01 00:00:00,218
b_72,2020-01-01 00:00:00,64
b_86,2020-01-01 00:00:00,56
b_98,2020-01-01 00:00:00,89
b_63,2020-01-01 00:00:00,1
b_81,2020-01-01 00:00:00,113
b_73,2020-01-01 00:00:00,65
b_27,2020-01-01 00:00:00,53
b_13,2020-01-01 00:00:00,68
b_1,2020-01-01 00:00:00,12
b_36,2020-01-01 00:00:00,88
b_21,2020-01-01 00:00:00,53
b_97,2020-01-01 00:00:00,44
b_60,2020-01-01 00:00:00,10
b_68,2020-01-01 00:00:00,71
b_26,2020-01-01 00:00:00,55
b_6,2020-01-01 00:00:00,70
b_96,2020-01-01 00:00:00,129
b_38,2020-01-01 00:00:00,69
b_87,2020-01-01 00:00:00,83
b_16,2020-01-01 00:00:00,63
b_52,2020-01-01 01:00:00,82
b_68,2020-01-01 01:00:00,32
b_47,2020-01-01 01:00:00,98
b_9,2020-01-01 01:00:00,42
b_25,2020-01-01 01:00:00,6
b_23,2020-01-01 01:00:00,17
b_90,2020-01-01 01:00:00,107
b_78,2020-01-01 01:00:00,46
b_51,2020-01-01 01:00:00,80
b_0,2020-01-01 01:00:00,69
b_20,2020-01-01 01:00:00,50
b_64,2020-01-01 01:00:00,97
b_12,2020-01-01 01:00:00,87
b_62,2020-01-01 01:00:00,59
b_73,2020-01-01 01:00:00,17
b_13,2020-01-01 01:00:00,82
b_61,2020-01-01 01:00:00,3
b_15,2020-01-01 01:00:00,5
b_16,2020-01-01 01:00:00,89
b_100,2020-01-01 01:00:00,48
b_53,2020-01-01 01:00:00,16
b_59,2020-01-01 01:00:00,22
b_17,2020-01-01 01:00:00,105
b_95,2020-01-01 01:00:00,65
b_18,2020-01-01 01:00:00,86
b_57,2020-01-01 01:00:00,14
b_43,2020-01-01 01:00:00,62
b_56,2020-01-01 01:00:00,93
b_77,2020-01-01 01:00:00,8
b_2,2020-01-01 01:00:00,200
b_67,2020-01-01 01:00:00,51
b_71,2020-01-01 01:00:00,82
b_94,2020-01-01 01:00:00,15
b_50,2020-01-01 01:00:00,144
b_33,2020-01-01 01:00:00,18
b_3,2020-01-01 01:00:00,19
b_35,2020-01-01 01:00:00,91
b_84,2020-01-01 01:00:00,14
b_41,2020-01-01 01:00:00,35
b_89,2020-01-01 01:00:00,48
b_87,2020-01-01 01:00:00,56
b_39,2020-01-01 01:00:00,67
b_29,2020-01-01 01:00:00,95
b_1,2020-01-01 01:00:00,75
b_57,2020-01-01 02:00:00,50
b_56,2020-01-01 02:00:00,80
b_31,2020-01-01 02:00:00,43
b_69,2020-01-01 02:00:00,99
b_7,2020-01-01 02:00:00,61
b_43,2020-01-01 02:00:00,70
b_67,2020-01-01 02:00:00,45
b_93,2020-01-01 02:00:00,78
b_54,2020-01-01 02:00:00,31
b_83,2020-01-01 02:00:00,50
b_40,2020-01-01 02:00:00,95
b_53,2020-01-01 02:00:00,88
b_92,2020-01-01 02:00:00,74
b_2,2020-01-01 02:00:00,98
b_99,2020-01-01 02:00:00,96
b_95,2020-01-01 02:00:00,141
b_22,2020-01-01 02:00:00,8
b_98,2020-01-01 02:00:00,171
b_35,2020-01-01 02:00:00,95
b_12,2020-01-01 02:00:00,39
b_62,2020-01-01 02:00:00,23
b_34,2020-01-01 02:00:00,154
b_36,2020-01-01 02:00:00,93
b_60,2020-01-01 02:00:00,38
b_87,2020-01-01 02:00:00,145
b_74,2020-01-01 02:00:00,35
b_16,2020-01-01 02:00:00,39
b_38,2020-01-01 02:00:00,23
b_59,2020-01-01 02:00:00,108
b_32,2020-01-01 02:00:00,98
b_17,2020-01-01 02:00:00,79
b_58,2020-01-01 02:00:00,53
b_4,2020-01-01 02:00:00,103
b_51,2020-01-01 02:00:00,29
b_55,2020-01-01 02:00:00,68
b_11,2020-01-01 02:00:00,160
b_48,2020-01-01 02:00:00,20
b_27,2020-01-01 02:00:00,183
b_80,2020-01-01 02:00:00,82
b_44,2020-01-01 02:00:00,33
b_68,2020-01-01 02:00:00,94
b_24,2020-01-01 02:00:00,53
b_1,2020-01-01 02:00:00,77
b_42,2020-01-01 02:00:00,95
b_82,2020-01-01 02:00:00,85
b_70,2020-01-01 02:00:00,84
b_29,2020-01-01 03:00:00,85
b_32,2020-01-01 03:00:00,38
b_31,2020-01-01 03:00:00,13
b_56,2020-01-01 03:00:00,105
b_88,2020-01-01 03:00:00,79
b_5,2020-01-01 03:00:00,73
b_25,2020-01-01 03:00:00,130
b_82,2020-01-01 03:00:00,10
b_95,2020-01-01 03:00:00,165
b_59,2020-01-01 03:00:00,92
b_38,2020-01-01 03:00:00,11
b_6,2020-01-01 03:00:00,58
b_87,2020-01-01 03:00:00,128
b_74,2020-01-01 03:00:00,67
b_14,2020-01-01 03:00:00,31
b_61,2020-01-01 03:00:00,56
b_73,2020-01-01 03:00:00,79
b_1,2020-01-01 03:00:00,43
b_62,2020-01-01 03:00:00,73
b_35,2020-01-01 03:00:00,33
b_65,2020-01-01 03:00:00,79
b_12,2020-01-01 03:00:00,100
b_72,2020-01-01 03:00:00,128
b_75,2020-01-01 03:00:00,69
b_2,2020-01-01 03:00:00,56
b_42,2020-01-01 03:00:00,160
b_24,2020-01-01 03:00:00,30
b_50,2020-01-01 03:00:00,5
b_51,2020-01-01 03:00:00,60
b_67,2020-01-01 03:00:00,71
b_79,2020-01-01 03:00:00,85
b_41,2020-01-01 03:00:00,140
b_93,2020-01-01 03:00:00,157
b_89,2020-01-01 03:00:00,66
b_21,2020-01-01 03:00:00,17
b_52,2020-01-01 03:00:00,109
b_8,2020-01-01 03:00:00,152
b_83,2020-01-01 03:00:00,9
b_100,2020-01-01 04:00:00,11
b_34,2020-01-01 04:00:00,75
b_21,2020-01-01 04:00:00,141
b_75,2020-01-01 04:00:00,8
b_71,2020-01-01 04:00:00,24
b_41,2020-01-01 04:00:00,91
b_24,2020-01-01 04:00:00,20
b_16,2020-01-01 04:00:00,22
b_37,2020-01-01 04:00:00,185
b_27,2020-01-01 04:00:00,116
b_33,2020-01-01 04:00:00,45
b_80,2020-01-01 04:00:00,139
b_96,2020-01-01 04:00:00,138
b_87,2020-01-01 04:00:00,31
b_52,2020-01-01 04:00:00,48
b_73,2020-01-01 04:00:00,52
b_36,2020-01-01 04:00:00,41
b_44,2020-01-01 04:00:00,17
b_60,2020-01-01 04:00:00,98
b_78,2020-01-01 04:00:00,8
b_93,2020-01-01 04:00:00,48
b_53,2020-01-01 04:00:00,16
b_97,2020-01-01 04:00:00,53
b_42,2020-01-01 04:00:00,33
b_83,2020-01-01 04:00:00,86
b_30,2020-01-01 04:00:00,52
b_7,2020-01-01 04:00:00,63
b_77,2020-01-01 04:00:00,144
b_48,2020-01-01 04:00:00,66
b_0,2020-01-01 04:00:00,19
b_55,2020-01-01 04:00:00,133
b_69,2020-01-01 04:00:00,7
