id,ts,sales
c_91,2020-01-01 00:00:00,83
c_67,2020-01-01 00:00:00,71
c_52,2020-01-01 00:00:00,87
c_36,2020-01-01 00:00:00,4
c_37,2020-01-01 00:00:00,52
c_64,2020-01-01 00:00:00,43
c_39,2020-01-01 00:00:00,49
c_62,2020-01-01 00:00:00,31
c_61,2020-01-01 00:00:00,69
c_41,2020-01-01 00:00:00,62
c_42,2020-01-01 00:00:00,70
c_97,2020-01-01 00:00:00,56
c_59,2020-01-01 00:00:00,58
c_58,2020-01-01 00:00:00,95
c_1,2020-01-01 00:00:00,165
c_14,2020-01-01 00:00:00,8
c_57,2020-01-01 00:00:00,53
c_50,2020-01-01 00:00:00,63
c_54,2020-01-01 00:00:00,88
c_94,2020-01-01 00:00:00,53
c_88,2020-01-01 00:00:00,25
c_13,2020-01-01 00:00:00,49
c_51,2020-01-01 00:00:00,97
c_44,2020-01-01 00:00:00,97
c_3,2020-01-01 00:00:00,27
c_53,2020-01-01 00:00:00,76
c_70,2020-01-01 00:00:00,169
c_17,2020-01-01 00:00:00,144
c_87,2020-01-01 00:00:00,144
c_82,2020-01-01 00:00:00,14
c_10,2020-01-01 00:00:00,72
c_21,2020-01-01 00:00:00,100
c_24,2020-01-01 00:00:00,30
c_29,2020-01-01 00:00:00,123
c_25,2020-01-01 00:00:00,158
c_79,2020-01-01 00:00:00,97
c_26,2020-01-01 00:00:00,33
c_77,2020-01-01 00:00:00,41
c_99,2020-01-01 00:00:00,166
c_71,2020-01-01 00:00:00,123
c_98,2020-01-01 00:00:00,54
c_28,2020-01-01 00:00:00,65
c_16,2020-01-01 00:00:00,62
c_90,2020-01-01 00:00:00,36
c_72,2020-01-01 01:00:00,98
c_87,2020-01-01 01:00:00,108
c_67,2020-01-01 01:00:00,46
c_53,2020-01-01 01:00:00,135
c_85,2020-01-01 01:00:00,9
c_82,2020-01-01 01:00:00,96
c_54,2020-01-01 01:00:00,18
c_56,2020-01-01 01:00:00,93
c_66,2020-01-01 01:00:00,100
c_11,2020-01-01 01:00:00,48
c_63,2020-01-01 01:00:00,175
c_10,2020-01-01 01:00:00,88
c_1,2020-01-01 01:00:00,98
c_80,2020-01-01 01:00:00,46
c_12,2020-01-01 01:00:00,34
c_65,2020-01-01 01:00:00,85
c_6,2020-01-01 01:00:00,86
c_60,2020-01-01 01:00:00,22
c_71,2020-01-01 01:00:00,38
c_57,2020-01-01 01:00:00,17
c_0,2020-01-01 01:00:00,36
c_88,2020-01-01 01:00:00,83
c_13,2020-01-01 01:00:00,11
c_19,2020-01-01 01:00:00,63
c_2,2020-01-01 01:00:00,84
c_20,2020-01-01 01:00:00,96
c_27,2020-01-01 01:00:00,151
c_16,2020-01-01 01:00:00,17
c_98,2020-01-01 01:00:00,116
c_97,2020-01-01 01:00:00,143
c_52,2020-01-01 01:00:00,58
c_31,2020-01-01 01:00:00,145
c_32,2020-01-01 01:00:00,100
c_4,2020-01-01 01:00:00,66
c_41,2020-01-01 01:00:00,155
c_30,2020-01-01 01:00:00,38
c_5,2020-01-01 01:00:00,86
c_45,2020-01-01 01:00:00,10
c_14,2020-01-01 01:00:00,193
c_44,2020-01-01 01:00:00,3
c_42,2020-01-01 01:00:00,53
c_50,2020-01-01 01:00:00,173
c_95,2020-01-01 01:00:00,15
c_94,2020-01-01 01:00:00,38
c_2,2020-01-01 02:00:00,125
c_83,2020-01-01 02:00:00,82
c_23,2020-01-01 02:00:00,102
c_19,2020-01-01 02:00:00,55
c_53,2020-01-01 02:00:00,18
c_24,2020-01-01 02:00:00,11
c_17,2020-01-01 02:00:00,87
c_79,2020-01-01 02:00:00,7
c_25,2020-01-01 02:00:00,29
c_78,2020-01-01 02:00:00,72
c_5,2020-01-01 02:00:00,12
c_87,2020-01-01 02:00:00,98
c_75,2020-01-01 02:00:00,69
c_60,2020-01-01 02:00:00,65
c_16,2020-01-01 02:00:00,47
c_40,2020-01-01 02:00:00,80
c_61,2020-01-01 02:00:00,58
c_4,2020-01-01 02:00:00,2
c_43,2020-01-01 02:00:00,47
c_37,2020-01-01 02:00:00,38
c_15,2020-01-01 02:00:00,87
c_72,2020-01-01 02:00:00,50
c_32,2020-01-01 02:00:00,11
c_11,2020-01-01 02:00:00,68
